"1 star","1 ستاره"
"2 stars","2 ستاره"
"3 stars","3 ستاره"
"4 stars","4 ستاره"
"5 stars","5 ستاره"
"Add New Rating","افزودن امتیاز جدید"
"Assigned Options","Assigned Options"
"Be the first to review this product","اولین نفری باشید که برای این محصول نظر می دهید"
"Default Value","مقدار پیش فرض"
"Delete Rating","حذف امتیاز"
"Edit Rating","ویرایش امتیاز"
"ID","شناسه"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Manage Ratings","مدیریت امتیازها"
"New Rating","امتیاز جدید"
"Option Label","برچسب گزینه"
"Option Title","عنوان گزینه"
"Option Title:","عنوان گزینه:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Rating Information"
"Rating","Rating"
"Rating Options","Rating Options"
"Rating Title","Rating Title"
"Rating Visibility","Rating Visibility"
"Rating isn't Available","Rating isn't Available"
"Rating with the same title","Rating with the same title"
"Save Rating","Save Rating"
"Sort Order","Sort Order"
"Visibility","Visibility"
